PERGUNTAS,RESPOSTAS
" Para realizar a pós-graduação, posso ser graduado em qualquer área?","Você pode conferir no edital e na página do curso, as opções dos cursos superiores aceitos para cursar a pós-graduação escolhida."
A Escola de Pós UFG oferece bolsas de estudo? Onde posso obter informações?,Sim! Nos editais da Escola de Pós UFG você consegue conferir as vagas e os pré-requisitos disponíveis para isenção de mensalidades de servidores da UFG e grupos minorizados.
A Escola de Pós UFG oferece cursos gratuitos?,"Sim, alguns cursos são gratuitos. Verifique os detalhes na página do curso."
Aline Priscila Pansani,"Professora Adjunta da Universidade Federal de Goiás – Departamento de Ciências Fisiológicas. Graduada em Fisioterapia pela Universidade Estadual Paulista Júlio de Mesquita Filho (2004), Mestre (2007) e Doutora (2011) em Ciências/Neurociências pela Universidade Federal de São Paulo. Pós- doutora em Fisiologia Cardiovascular pela Unifesp (2012). Professora visitante na Universidade de Iowa (2021). Coordenadora do Grupo Amigos Anti-Mortalidade em Epilepsia (AAME) e embaixadora da Associação Brasileira de Epilepsia (ABE). Possui experiência na área de fisiologia, com ênfase em Neurociências e fisiologia cardiorrespiratória, atuando principalmente nos seguintes temas: epilepsia, morte súbita em epilepsia, estresse oxidativo, ciclo vigília-sono e apneia obstrutiva do sono. Na Escola de Pós é docente do curso: Fisiologia Humana Aplicada às Ciências da Saúde."
Alverne Passos Barbosa,"Sócio proprietário da Vinícola Serra das Galés (Paraúna – Goiás). Conhecimentos na área de viticultura, enoturismo, enogastronomia e nos processos de vinificação. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Ana Carolina Figueiredo Modesto,"Graduada em Farmácia pela Faculdade de Farmácia/UFG. Especialista em Farmácia Hospitalar e Assistencial. Doutora em Ciências da Saúde e Mestre em Ensino na Saúde pela Faculdade de Medicina/UFG. Responsável pelo Serviço de Farmacovigilância do Setor de Gestão da Qualidade do Hospital das Clínicas da Universidade Federal de Goiás/EBSERH Orientadora no Programa de Pós-Graduação em Avaliação e Assistência à Saúde, da Faculdade de Farmácia da Universidade Federal de Goiás, nível Mestrado. Áreas de atuação: Segurança do Paciente; Farmacovigilância; Farmacoepidemiologia; Farmácia Clínica; Estudos de Coorte. Não atua em nenhum curso da Escola de Pós da UFG."
Ane Trento,"Graduação em Farmácia (UFG, 2004). Mestrado em Ciências Farmacêuticas (UFG, 2008). Aperfeiçoamento em Farmácia Clínica (Universidad de Chile, 2011). Especialização em Assistência Farmacêutica na Atenção Básica à Saúde (UFG, 2012). Capacitação em Serviços Clínicos (CFF, 2018). Especialização Profissional em Farmácia Clínica por Notório Saber (SBFC, 2024). Atualmente é professora do curso de especialização em Farmácia Clínica da Universidade Federal de Goiás e dos cursos Prescrever e Cuidado Farmacêutico promovidos pelo CFF. Coordenadora do Grupo de Trabalho em Serviços Clínicos do Conselho Regional de Farmácia de Goiás, membro do Gupo Técnico sobre Farmácia Clínica do Conselho Federal de Farmácia e Diretora de Formação da Sociedade Brasileira de Farmácia Clínica – Regional Goiás. Não atua em nenhum curso da Escola de Pós da UFG."
Aysha Jussara Ivonilde Carrim,"Formação em Ciências Biológicas (PUCCAMP e administração UNI ARAGUAIA). Mestrado em Microbiologia Ambiental e doutora em Ciências Ambientais (UFG). Especialização e MBA em Marketing Estratégico, Marketing Digital, Gestão de Pessoas e Coaching, Perícia Criminal. Atualmente lotada na Engenharia de Alimentos (UFG). Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Breno Delfino Amaral Freitas,"Advogado, inscrito na OAB-GO sob nº 49.533. Bacharel em Direito pela PUC Goiás (2016). Especialista em Direito Civil, Direito Processual Civil e Docência Universitária pela Escola Superior de Direito de Goiás (2018). Professor titular do curso de Direito do Centro Universitário de Inhumas (UNIMAIS). Mestre em Desenvolvimento e Planejamento Territorial pela PUC Goiás (2024). Na OAB-GO, é membro da Comissão Especial de Estudos Processuais e Comissão de Direito do Trabalho. Foi advogado-professor do Núcleo de Prática Jurídica do curso de Direito da PUC Goiás (2022-2024). Professor certificado pela Escola Superior da Advocacia de Goiás (ESA/OAB-GO). Professor do curso de Direito do Centro Universitário de Inhumas (UNIMAIS). Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Camila Alves de Melo,"Professora do curso de Biblioteconomia da Universidade Federal de Goiás (UFG), na área de Fundamentos da Biblioteconomia nos contextos social, cultural e educacional. Doutora e Mestra em Educação pelo Programa de Pós-Graduação em Educação da Universidade Federal do Rio Grande do Sul (PPGEDU/UFRGS). Especialista em Literatura Infantil e Juvenil e em Práticas Educativas em Bibliotecas Escolares pela Universidade de Caxias do Sul (UCS). Licenciada em Pedagogia e Bacharela em Biblioteconomia pela UFRGS. Na Escola de Pós é docente do curso: Letramento Informacional: Educação para Informação."
Carlos Henrique de Castro,"Graduação em Fisioterapia, Mestre e Doutor em Ciências Biológicas – área de concentração em Fisiologia – pela Universidade Federal de Minas Gerais. Doutorado sanduíche na University of Ottawa, Canadá e Pós-doutorado na Universidade Federal de Minas Gerais. Atualmente é professor Associado na Universidade Federal de Goiás. Possui experiência na área de Fisiologia Humana com ênfase em Fisiologia Cardiovascular. Suas principais linhas de pesquisas são: Papel do sistema Renina-angiotensina no controle da função cardiovascular, Ação do Eixo ECA2/Angiotensina-(1-7)/Receptor Mas no desenvolvimento do remodelamento cardíaco fisiológico e patológico e Circulação coronariana. Na Escola de Pós é docente do curso: Fisiologia Humana Aplicada às Ciências da Saúde."
